Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
2025-05-03,08:14:51,UBR180966,nan,CUST69279,Uber Auto,Noida Sector 18,Karol Bagh,13.8,37.9,nan,YES,Traffic,NO,,365.6,,,,Credit Card
2025-06-01,05:29:38,UBR146564,Driver Cancelled,CUST36975,Bike,Vasant Kunj,New Delhi,5.4,19.4,,Yes,Traffic,No ,,292.0,,,,null
2025-05-04,06:19:55,UBR101142,Driver Cancelled,CUST27650,Uber Go,Rajouri Garden,Gurugram,5.3,18.8,,Yes,N/A,No ,,81.3,3.5,,,wallet
2025-02-23,13:05:16,UBR187017,Completed,CUST48568 ,Moto,Dwarka,Noida Sector 62,1.4,9.7,,Unknown,,no,,151.8,9.9,3.9,4.2,N/A
2025-03-20,8:10 PM,UBR128749,Completed,CUST39671,Uber GO,Cyber City,Noida Sector 62,10.7,49.4,,No,,NO,,410.7,9.1,4.1,N/A,UPI
2025-12-23,02:28:00,UBR130560,completed,CUST27318,Bike,Rajouri Garden,Vaishali,7.3,29.7,,no,,No,,10000,13.8,N/A,N/A,UPI
2025-11-25,20:16:51,UBR198303,Completed,CUST37315,Moto,Delhi,Ghaziabad,14.8,60.0,,No ,,no,,632.0,16.5,4.3,3.9,upi
"June 05, 2025",14:35:47,UBR157130,Completed,CUST38973,Uber Go,Janakpuri,New Delhi Railway Station,10.7,27.8,,no,,No ,,198.9,5.3,4.0,4.6,Debit Card
2025-05-04,03:34:39,UBR181681,Completed,CUST41485,Auto,Delhi,MG Road,5.7,15.0,,No ,,NO,,302.0,10.1,3.8889860735839417 stars,4.9,wallet
2025-01-04,09:10:47,UBR140794,completed,CUST70193,Uber Premier,Dwarka,Greater Kailash,10.0,36.6,,NO,,No,,264.7,7.7,5.0,4.5,wallet
2025-11-23,03:05:31,UBR123017,Incomplete,,UberXL,Rohini,Gurugram,1.0,8.3,,No,,YES,Customer emergency ,,8.3,,N/A,UPI
"March 26, 2025",12:20:24,UBR137315,Completed, CUST60917,Uber Auto,Cyber City,Dwarka,3.5,14.6,,NO,,No ,,211,13.0,4.1,,UPI
2025-12-02,10:27:09,UBR189311,Customer Cancelled,CUST42186,uber xl,Aerocity,Noida Sector 62,19.8,N/A,Driver is too far,no,,No,N/A,469.7,,,,upi
27/04/2025,01:50:10,UBR132686,Completed,CUST27687,Uber Go,Faridabad,Kaushambi,4.4,-,Not Available,No,Unknown,No,,Not Available,10.2,4.6,4.5,UPI
"January 17, 2025",08:08:40,UBR107161,Completed,CUST61244,Uber Auto,Delhi,Greater Kailash,14.8,50.8,,N/A,,No,,445.4,13.7,null,4.5,Cash
2025-03-11,00:09:23,UBR118571,Completed,CUST51738,Bike,Noida Sector 62,Rohini,11.0,24.6,,no,,No ,,null,Not Available,5.0,4.1,Cash
2025/10/21,05:35:15,UBR900217,Incomplete,CUST20297,Uber Auto,DLF Phase 1,IGI Airport,7.2,N/A,Not Available,Unknown,,Yes ,Technical issue,350.5,N/A,,4.4,wallet
2025-02-22,13:23:20,UBR142475,Completed,CUST74747,Uber Auto,Lajpat Nagar,Cyber City,9.9,28.0,,No ,,No,,244,11.79543822238284,4.1,N/A,Cash
2025-05-13,20:54:01,UBR900790,CUSTOMER CANCELLED,CUST50590,Uber Auto,IGI Airport,Vasant Kunj,14.4,60.0,Wrong pickup location,No,,NO,,403.9,,,null,Credit Card
2025-12-31,17:16:37,UBR136227,Cancelled,NA,Uber Auto,Rajouri Garden,DLF Phase 1,14.3,48.3,Wrong pickup location,no,,NO,,,12.0,,,Credit Card
2025-02-14,01:53:53,UBR199860,Completed,CUST26847,Uber Go,Dwarka,Janakpuri,6.4,29.1,N/A,no,,no,,265.2,12.3,4.3,4.5,Credit Card
18/04/2025,23:58:07,UBR176898,Completed ,,Uber Premier,Rohini,DLF Phase 1,9.5,19.8,,no,,No,,181.5,5.7,"""4.385847826391911""",4.6,Cash
2025-04-24,06:52:18,UBR148968,completed,CUST39154,uber auto,Kaushambi,Aerocity,4.8,8.6,,No ,,No,,75.8,1.8,4.7,5.0,Wallet
02-02-2025,01:52:50,UBR118035,Completed,CUST67824,Uber Auto,Delhi,Greater Kailash,nan,31.1,-,No ,,,,301.6,17.1,4.7,4.4,Cash
05-06-2025,03:25:28,UBR102485,Customer Cancelled,CUST43073,Uber Go,Cyber City,Rohini,7.4,33.5,Other,NO,,no,,289.2,11.7,,,UPI
09-02-2025,16:14:07,UBR138238,Completed ,cust66678,Uber Auto,DLF Phase 1,Ghaziabad,5.9,23.3,,NO,,No,,NULL,9.9,4.6,5.0,Credit Card
2025-07-21,07:49:15,UBR115406,Customer Cancelled,CUST23067,Uber Premier,Vasant Kunj,Aerocity,10.0,46.6,Other,no,,No ,,495.3,13.1,,NULL,UPI
2025-07-30,20:47:33,UBR120786,Completed,CUST34558,Moto,Janakpuri,Lajpat Nagar,14.1,46.0,,no,,NO,,379.0,10.2,4.7,4.7,Credit Card
2025-03-28,22:52:30,UBR187278,Completed,CUST36023 ,Uber Auto,Connaught Place,Saket,11.8,44.9,,NO,,No,,214,10.4,"""4.384282354943644""",3.7,N/A
07-04-2025,20:50:49,UBR900435,Incomplete,CUST67118,Uber XL,MG Road,Karol Bagh,11.4,43.8,null,no,nan,YES,Not Available,,8.8,4.5,,debit card
2025-12-12,1:18 PM,UBR189320,Completed ,CUST67829,Uber Auto,Indirapuram,Vaishali,nan,18.4,,No ,,No ,,251.1,6.7,N/A,N/A,UPI
2025-11-17,11:08:30,UBR165146,driver cancelled,CUST26591,Uber Go,Greater Kailash,New Delhi,9.1,33.0,,Yes ,Wrong pickup location,No ,,204.9,,,,debit card
10-May-2025,11:29 AM,UBR106478,completed,,Uber Auto,Vaishali,Greater Kailash,12.1,48.8,,no,Unknown,N/A,NA,234.5,NULL,3.6,4.5,Cash
2025-11-25,07:49:09,UBR195209,Completed,CUST21090,Uber Go,New Delhi Railway Station,N/A,7.7,31.1,NULL,No ,,No ,,NULL,1.7,4.1,4.8,Cash
2025-05-28,14:45:27,UBR187819,Completed ,CUST25719,Moto,Connaught Place,Janakpuri,7.6,24.0,,No,,No ,,253.6,11.7,N/A,Unknown,Credit Card
2025/10/12,20:57:04,UBR118713,Customer Cancelled,CUST28483,Uber Go,Vaishali,Anand Vihar,14.7,52.2,Driver asked to cancel,No,,No ,,,Not Available,,,N/A
2025-12-03,18:40:14,UBR109565,Completed,CUST62974,Uber Premier,Karol Bagh,Rohini,12.0,42.6,,No,,NO,,unknown,-,4.3,4.9,UPI
2025-09-07,18:56:55,UBR109818,Completed,CUST21355,Uber Go,Karol Bagh,Vaishali,7.0,36.4,,No ,,NO,,362,12.3,4.6,3.7,UPI
2025-05-16,21:40:18,UBR198392,Completed,CUST55257 ,UberAuto,Dwarka,Faridabad,15.4,52.6,,No ,,no,,310.4,8.4,N/A,5.0,wallet
2025-08-11,08:28:48,UBR161918,completed,CUST34009,Moto,New Delhi,Lajpat Nagar,10.8,34.5,,no,,No ,null,663.6,20.5,3.2,3.5,upi
2025-11-22,12:37:41,UBR187751,Completed,N/A,Bike,Cyber City,Rohini,10.0,30.3,,NO,,no,,126.0,5.2,4.8,"""4.557404597288676""",CASH
2025-09-13,19:54:13,UBR137313,Customer Cancelled,CUST50216,uber premier,Karol Bagh,Anand Vihar,11.9,53.6,Other,No,,No ,,nan,19.5,,,nan
,21:25:38,UBR141615,completed,,Uber Premier,Vaishali,Indirapuram,12.8,55.4,,no,,NULL,,343.1,12.8,4.2,NULL,Credit Card
2025-07-05,4:26 AM,UBR161164,completed,CUST36946,Uber Go,MG Road,Indirapuram,6.3,nan,,NO,,No ,,776.6,35.7,4.4,4.7,UPI
13/02/2025,14:07:24,UBR177636,Completed,cust73684,Moto,Vasant Kunj,Indirapuram,7.0,15.7,,no,N/A,No,,Unknown,6.2,5.0,4.7,upi
2025-06-27,19:54:26,UBR104830,Completed,CUST49643,UberGo,NULL,Anand Vihar,12.3,NULL,,No,,NO,,441.1,16.5,3.6,3.8,N/A
2025-10-24,10:29 AM,UBR187266,Incomplete,CUST24099,Uber Go,IGI Airport,New Delhi Railway Station,11.1,43.1,,no,,Yes,,729.2,20.0,4.4,,Cash
2025-10-30,,UBR131408,Customer Cancelled,CUST20733,Uber XL,Gurugram,New Delhi Railway Station,9.1,Unknown,Driver is too far,NO,,No,,203.6,,N/A,,Credit Card
2025-09-11,07:51:54,UBR171467,Completed ,CUST74926,Uber Go,Lajpat nagar,N/A,10.3,NULL,,No,,NO,,363.0,13.7,4.8,4.1,Debit Card
2025-11-26,23:48:09,UBR131874,Incomplete,CUST47550,Uber Premier,Noida Sector 18,,6.5,Unknown,,no,,YES,Customer emergency,,Not Available,,4.4,upi
2025-07-26,11:03:31,UBR171402,Completed,CUST56182,Moto,Dwarka,Connaught Place,3.3,12.6,Unknown,No,,no,,221.0,7.8,5.0,4.0,Cash
2025/08/09,19:40:34,UBR183994,Completed,CUST25672,Uber Go,Connaught Place,Kaushambi,14.5,45.7,,no,,No,,557.6,unknown,4.3,4.9,Unknown
2025-04-02,17:51:45,UBR118904,COMPLETED,CUST27652,Uber Go,Gurugram,Anand Vihar,nan,57.5,NA,NO,,NO,,nan,22.86774526054055,4.5,4.6,Cash
2025-09-23,03:16:56,UBR189148,Completed,CUST61895,Moto,New Delhi,Vaishali,5.0,15.4,,No,,nan,-,525.6,19.8,4.3,5.0,wallet
2025-11-02,09:45:50,UBR105506,Completed,CUST46008,UberAuto,Rohini,Dwarka,6.1,28.5,,-,,no,,111.3,4.132715520303357,Not Available,4.3,Cash
2025-12-08,,UBR137125,completed,-,Moto,MG Road,Dwarka,14.6,60.0,,NO,,No,,N/A,14.0,4.4,4.3,UPI
2025-11-22,23:53:35,UBR139116,Incomplete,CUST32772,Uber Premier,New Delhi Railway Station,Anand Vihar,5.7,18.9,,No ,,yes,Customer emergency,304.3,15.8,,4.3,cash
2025-10-20,20:55:39,UBR152115,Completed,CUST47322,Uber Premier,Lajpat Nagar,Kaushambi,18.8,Not Available,,NO,,no,,263.2,7.8,4.4,4.4,UPI
2025-07-24,09:10:42,UBR152148,Completed,CUST59921,Uber Premier,Ghaziabad,Delhi,12.1,46.9,,NO,,No,,-,33.1,5.0,NA,Cash
2025-07-03,01:08:49,UBR138601,N/A,CUST29441,Uber Auto,Delhi,Anand Vihar,7.2,19.7,-,NO,,No,,194.1,6.5,"""5.0""",4.8,Debit Card
2025-04-03,1:07 PM,UBR105945,Completed,CUST22170,uber premier,Anand Vihar,Karol Bagh,12.2,38.0,,no,,No ,,472.0,18.0,5.0,N/A,Cash
"October 04, 2025",23:01:25,UBR107805,Completed,CUST33049,moto,Aerocity,Karol Bagh,7.1,27.2,,NO,Unknown,No,nan,443.9,14.1,4.7,4.7,CreditCard
2025-04-14,07:03:13,UBR173485,completed,CUST46488,uber go,Kaushambi,Indirapuram,13.3,43.0,,NO,,No,,325.9,10.3,3.7,"""4.438117675482259""",UPI
2025-03-27,09:41:30,UBR177298,Completed,CUST34417,UberGo,Dwarka,Aerocity,8.9,30.1,,NO,,No,Unknown,268.4,8.0,4.9,4.5,N/A
2025-02-14,09:21:12,UBR137688,Completed ,cust28026,Uber Auto,Connaught Place,Anand Vihar,12.6,30.9,null,NO,,No ,NA,145.1,2.5,4.8,4.5,NA
2025-04-08,18:35:36,UBR150963,Completed,CUST26045,Uber XL,Delhi,Rajouri Garden,10.8,38.5,,no,,no,,273.8,8.8,4.5,5.0,Credit Card
2025-03-23,03:26:41,UBR189709,Incomplete,CUST65711,Bike,nan,Vaishali,12.2,55.9,,NO,,YES,Technical issue,,NA,,,debit card
,18:21:29,UBR189036,Completed ,CUST66033,Uber Auto,Lajpat Nagar,New Delhi Railway Station,11.3,35.5,,no,,No,,463.0,22.4,4.9,4.6,upi
2025-02-22,08:07:49,UBR156948,Completed,CUST46601,Uber Auto,Dwarka,Hauz Khas,18.2,60.0,,No,,No ,,89.7,3.5,4.9,4.9,UPI
2025-04-10,13:57:14,UBR107928,Completed,CUST48967,Uber Go,Lajpat Nagar,Faridabad,6.7,18.9,,NO,,No,,148.4,4.1,5 stars,5.0,Cash
14/10/2025,6:51 PM,UBR116444,Completed,CUST60815,Uber Premier,Hauz Khas,Kashmere Gate,10.3,54.2,,No,,No,,224.4,9.1,4.7,4.5,NULL
2025-09-14,07:43:52,UBR107867,Completed,CUST35726,Bike,Noida Sector 18,Cyber City,10.3,34.4,,No ,,No,,116.3,4.0,4.0,5.0,NA
2025-08-29,20:54:05,UBR102584,Customer Cancelled,CUST29627,Uber Go,Gurugram,IGI Airport,17.8,60.0,Change of plans,NO,,No,,NULL,34.8,nan,,Debit Card
27/10/2025,10:21:31,UBR152683,Completed,CUST67479,uber premier,Delhi,Rohini,N/A,60.0,,no,,No ,,424,9.6,4.7,4.7,Cash
2025-05-21,10:32:16,UBR188789,Customer Cancelled,CUST70734,UberAuto,DLF Phase 1,Connaught Place,12.7,44.3,Driver is too far,No ,,no,,NULL,250.0,NA,,UPI
28/03/2025,16:27:58,UBR146167,Completed,CUST70256,Uber XL,Indirapuram,Saket,3.6,30.8,,,,No ,,938.4,35.5,4.8,N/A,debit card
2025-01-09,19:33:14,UBR139959,Driver Cancelled,CUST69452,Uber Auto,Dwarka,Anand Vihar,16.6,58.7,,yes,Too far,No ,,69.9,,,,null
2025-08-22,12:09 AM,UBR111484,Completed,CUST71918,moto,MG Road,Lajpat Nagar,3.2,15.1,,NO,,NO,,347.1,13.5,3.9,4.0,Wallet
2025-03-22,17:06:21,UBR147372,Cancelled,CUST39187,bike,Hauz Khas,Noida Sector 18,15.0,Unknown,,Yes,VEHICLE ISSUE,No,nan,491.3,,N/A,,upi
2025-11-18,19:21:41,UBR137270,Incomplete,CUST59141,Bike,New Delhi,MG Road,12.5,60.0,,No ,,Yes ,Technical issue ,,32.3,,,Wallet
"September 03, 2025",22:25:38,UBR136442,Completed ,CUST66306,Uber XL,Greater Kailash,Aerocity,5.8,19.6,,no,,No,,617.7,21.9,4.9,"""4.290222246009021""",Wallet
2025-03-24,19:51:42,UBR164116,Completed,,Moto,Faridabad,Ghaziabad,nan,38.1,,no,,No ,,261.4,10.0,4.3,4.3,Wallet
2025-03-26,00:05:23,UBR128009,Incomplete,CUST49552,uber go,Dwarka,Delhi,2.6,8.5,,NO,,Yes,Driver emergency,152.6,,Unknown,,Credit Card
14/03/2025,17:19:07,UBR180658,Completed,CUST73322,Uber Premier,Noida Sector 18,MG Road,13.7,45.6,,no,,no,,533.5,22.6,5.0,4.8,UPI
2025-12-20,16:12:19,UBR170878,Completed ,CUST56309 ,Uber Go,DLF Phase 1,Ghaziabad,8.2,21.5,,no,,No ,,251.8,7.1,4.8,4.9,Debit Card
nan,14:11:52,UBR134822,Completed,CUST30887,Uber Go,Hauz Khas,Aerocity,7.5,19.3,NULL,NO,,No ,,N/A,17.4,4.3,"""4.933396227017198""",UPI
2025-03-14,21:53:39,UBR132933,Completed,CUST71000,Uber Auto,Connaught Place,Cyber City,15.1,54.3,,No,null,No,,481.4,12.5,4.8,5.0,UPI
2025-02-26,05:10:36,UBR124746,COMPLETED,CUST65516,Uber XL,MG Road,Karol Bagh,8.1,22.0,,No,,No,,451.0,13.5,N/A,4.6,CASH
2025/04/23,10:11 AM,UBR160901,CUSTOMER CANCELLED,CUST49876,Moto,Kaushambi,Delhi,8.3,32.7,Wrong pickup location,null,,No,,,Not Available,null,,Cash
2025-01-23,12:58:34,UBR113762,Completed,CUST21556 ,Moto,null,Cyber City,NA,33.5,,no,,NO,,Not Available,Not Available,5.0,5.0,upi
08-23-2025,06:28:38,UBR107751,Completed ,CUST49670 ,Moto,Ghaziabad,New Delhi,8.1,21.7,,No ,,No ,,237.1,11.0,4.3,4.9,Debit Card
01-29-2025,00:33:40,UBR137687,Incomplete,CUST53416,Uber Go,Saket,Vasant Kunj,8.8,37.4,,no,,yes,Route issue,353,13.9,,4.6,UPI
2025-03-01,17:53:12,UBR197904,Customer Cancelled,CUST35413,Uber Go,Vasant Kunj,Janakpuri,15.1,,Driver not moving,No,,No,,463.2,,,,upi
2025-09-12,00:36:54,UBR193540,Customer Cancelled,CUST49410,Uber Go,Rajouri Gdn,New Delhi,9.0,37.7,wait time too long,No ,NA,NO,,,,,,Credit Card
2025-05-24,19:48:02,UBR190478,Completed,CUST43585,Not Available,Faridabad,MG Road,7.7,36.8,,NO,,No ,,315.5,9.1,4.5,NA,upi
2025-05-11,21:00:21,UBR176250,Completed,CUST30952,Uber Auto,Anand Vihar,Vaishali,9.9,42.9,,No,,NO,,518,14.5,4.5,4.3,Credit Card
2025/10/24,04:46:17,UBR108680,Incomplete,CUST45582,UberGo,Noida Sector 62,New Delhi Railway Station,10.9,33.4,,NO,,yes,Customer emergency,,5.6,,,Wallet
2025-12-17,22:22:16,UBR129139,completed,CUST32853,Uber Auto,Rohini,Lajpat Nagar,1.5,7.3,,No ,,NO,,178.2,6.0,N/A,4.3,Debit Card
2025-04-12,18:32:11,UBR143312,Completed,CUST47508,Uber Auto,Kaushambi,Vaishali,Unknown,60.0,,NO,,No ,,291.6,6.1,N/A,4.7,Wallet
2025-05-08,21:04:31,UBR128822,Completed,CUST25359,Uber Go,Gurugram,Karol Bagh,8.9,31.9,,no,,NO,,265.8,11.8,4.6,4.9,debit card
2025-04-03,16:41:00,UBR125420,Completed,CUST44703,Moto,DLF Phase 1,Delhi,8.0,34.0,,no,,no,,755.1,28.6,4.5,4.0,Debit Card
2025-07-19,23:51:34,UBR156588,INCOMPLETE,CUST54171 ,Uber Go,IGI Airport,Rajouri Garden,NA,35.3,,NO,,Yes,Driver emergency,546.0,N/A,,4.9,Cash
11-18-2025,16:30:17,UBR180044,Completed,CUST32543,Bike,Saket,Dwarka,nan,600.0,,No ,,No,,N/A,13.0,4.8,5.0,Credit Card
2025-04-21,09:28:31,UBR149619,Completed,CUST20258,Uber Auto,Greater Kailash,Indirapuram,11.8,null,,No,-,NO,,277.2,10.9,"""4.8276379956451""",5.0,UPI
2025-10-16,00:28:32,UBR121484,Completed,CUST74301,uber auto,Hauz Khas,Cyber City,3.3,16.9,-,No ,,N/A,null,516.4,17.8,5.0,4.5,Cash
2025/11/26,8:59 AM,UBR146820,Completed,CUST67194,Uber Go,gurugram,DLF Phase 1,9.1,-,,No ,,NO,,272.7,9.4,"""4.614456254518476""",3.8,Cash
12-30-2025,21:14:27,UBR184705,Completed ,,UberAuto,Rohini,Gurugram,12.1,54.7,,No,,NO,,163.3,Unknown,4.1,4.5,upi
2025/10/26,00:48:58,UBR127547,completed,CUST57798,Bike,New Delhi Railway Station,Indirapuram,3.0,16.6,,no,,NO,,478.7,Not Available,3.5,4.1,Credit Card
2025-04-01,14:21:47,UBR156993,CUSTOMER CANCELLED,cust22513,Uber Auto,Indirapuram,,8.8,27.3,Other,no,,No ,,,,,,UPI
2025-03-06,00:55:46,UBR131904,COMPLETED,CUST41805,Uber Go,Cyber City,New Delhi,3.1,15.3,,No ,,NO,,230.3,7.4,5.0,4.6,UPI
2025-05-06,10:32:19,UBR136186,Driver Cancelled,CUST62326,Uber XL,Janakpuri,Aerocity,17.7,60.0,,Yes ,Other,NO,,326.7,nan,,,CreditCard
05-20-2025,14:28:57,UBR138061,Completed,CUST73227,Uber Go,Delhi,New Delhi Railway Station,8.9,N/A,,No,,NO,,444.3,21.5,4.4,4.0,UPI
2025-06-06,18:57:24,UBR105272,Incomplete ,CUST28484,Uber Go,Noida Sector 18,New Delhi,9.6,40.7,,No ,,yes,Vehicle breakdown,384.9,21.4,,"""4.424192411590662""",cash
2025-07-08,06:56:49,UBR128945,N/A,CUST66688,moto,Rohini,Faridabad,6.3,22.9,,NO,,No,,327.2,11.8,4.7,"""5.0""",upi
2025/02/10,23:48:52,UBR127361,COMPLETED,CUST53725,Bike,Cyber City,Indirapuram,7.2,18.5,N/A,NO,,No ,,297.6,10.7,5.0,"""4.687225404510145""",Credit Card
13-Oct-2025,04:35:10,UBR175547,Completed,CUST42625,Uber Go,Janakpuri,Lajpat Nagar,10.2,26.8,,No ,,No ,,277.5,13.6,-,4.8,upi
08-27-2025,17:14:28,UBR180218,Customer Cancelled,CUST47765,Bike,Rohini,Vasant Kunj,15.1,NA,Wait time too long,NO,,no,,367.4,,,,null
16/05/2025,14:04:20,UBR151730,Completed,CUST33443,moto,Aerocity,Delhi,7.7,35.0,,NO,,No,,269.6,11.0,4.2,5.0,UPI
2025-03-14,4:34 PM,UBR104159,Completed,CUST52185,moto,Vasant Kunj,Rohini,10.1,28.0,,No,,No ,,256.6,13.4,4.5,5.0,Credit Card
2025-11-17,22:20:49,UBR133317,Driver Cancelled,CUST46078,uber auto,Saket,Faridabad,4.6,16.2,,Yes,Customer asked to cancel,Not Available,,115.7,,,,Credit Card
06-09-2025,17:10:50,UBR155591,Completed,CUST34246,Uber Premier,Aerocity,Indirapuram,13.7,47.5,,no,,NO,,216.4,6.3,4.3,4.5,UPI
2025-04-05,16:51:38,UBR176789,Customer Cancelled,CUST29083,Uber Auto,Gurugram,Saket,8.9,33.0,,no,,No ,,370.6,19.8,,,UPI
2025-05-25,04:25:59,UBR157153,Incomplete,CUST28917,nan,Faridabad,Noida Sector 62,7.9,null,-,no,,Yes,,208.6,8.3,,,-
2025/03/23,12:05:40,UBR146302,Completed,CUST25806,Bike,MG Road,NA,9.3,23.6,,No ,,No ,,175.3,6.0,5.0,,UPI
2025-08-22,18:00:03,UBR139382,Completed,CUST65752,Uber Auto,Kaushambi,Indirapuram,nan,null,,no,,no,,410.3,15.5,NA,,Debit Card
01-09-2025,05:52:36,UBR176910,Completed,,Uber Go,Kashmere Gate,Noida Sector 18,NA,31.8,,No,,no,,374.2,16.0,N/A,4.8,Wallet
2025-09-17,08:00:38,UBR165412,Completed,CUST59853,Unknown,DLF Phase 1,Hauz Khas,11.8,60.0,,No ,,No ,,623.5,27.0,4.5,N/A,UPI
2025-12-09,8:27 PM,UBR134153,Completed,CUST32860,UberAuto,Gurugram,Vasant Kunj,13.6,-,,No,,NO,,904.8,25.7,4.5,5.0,Not Available
2025-04-26,20:50:59,UBR900683,Incomplete,CUST43884,Uber Go,Kaushambi,Hauz Khas,13.5,51.1,,No ,,Yes , Other,,,3.7,4.9,Credit Card
11-26-2025,02:58:12,UBR149833,Completed,CUST66771,Auto,Faridabad,Lajpat Nagar,7.2,22.5,,no,,NO,,60.0,3.1,4.2,-,Debit Card
2025-10-26,21:47:29,UBR182611,Completed,CUST41233,Moto,MG Road,DLF Phase 1,11.5,48.3,,no,,No ,,230.1,7.5,NULL,4.2,UPI
2025-06-20,17:04:26,UBR158697,Completed,CUST39061,Uber Auto,Rohini,Karol Bagh,13.3,60.0,,No,,No ,,272.7,9.0,5 stars,4.5,UPI
2025-09-14,07:55:59,UBR194983,Completed,CUST24348,moto,DLF Phase 1,Ghaziabad,11.8,59.2,,null,,No,,423.0,13.6,3.2,"""4.371163409629545""",Cash
05/09/2025,15:54:47,UBR166668,Completed,CUST66834,Uber Auto,DLF Phase 1,Dwarka,5.8,31.5,,No,,No,Not Available,NA,29.1,4.3,4.9,Credit Card
07-04-2025,11:30:32,UBR107811,Customer Cancelled,CUST30464,Uber Go,Noida Sector 18,Vaishali,,20.2,Driver is too far,null,,No,,223.2,11.1,,,upi
2025-01-09,19:31:03,UBR152060,Completed,CUST71290,Uber Go,Connaught Place,New Delhi Railway Station,21.0,,,NO,,No ,,202.2,null,4.5,4.7,Cash
2025-09-28,9:34 PM,UBR138398,completed,CUST53652,Uber Go,Indirapuram,Faridabad,18.9,60.0,,NO,,No,,NULL,7.2,4.6,4.5,Credit Card
2025-06-10,00:08:36,UBR124354,Customer Cancelled,CUST28352,Uber Go,Hauz Khas,Lajpat Nagar,8.0,28.5,Wrong pickup location,No,,No ,,60.0,2.0,0.0,,CASH
